a_id,a_name,b_id,b_name,score,reasons,a_date,b_date,a_coords,b_coords,a_map,b_map
BDS-MASTER-0050,Lô mặt tiền Quốc Lộ 13 Hiệp Bình Phước,BDS-MASTER-0284,Cát Lái từ P,140,same_map_link; same_coord_0m,,,"10.8486272, 106.7188746","10.8486272, 106.7188746",https://maps.app.goo.gl/oHEYY6H9GGykdD9C6,https://maps.app.goo.gl/oHEYY6H9GGykdD9C6
BDS-MASTER-0050,Lô mặt tiền Quốc Lộ 13 Hiệp Bình Phước,BDS-MASTER-0418,Cát Lái,140,same_map_link; same_coord_0m,,,"10.8486272, 106.7188746","10.8486272, 106.7188746",https://maps.app.goo.gl/oHEYY6H9GGykdD9C6,https://maps.app.goo.gl/oHEYY6H9GGykdD9C6
BDS-MASTER-0050,Lô mặt tiền Quốc Lộ 13 Hiệp Bình Phước,BDS-MASTER-0469,sẽ hơi nhiều gốc cạnh sau khi ráp 2 miếng vào,140,same_map_link; same_coord_0m,,,"10.8486272, 106.7188746","10.8486272, 106.7188746",https://maps.app.goo.gl/oHEYY6H9GGykdD9C6,https://maps.app.goo.gl/oHEYY6H9GGykdD9C6
BDS-MASTER-0050,Lô mặt tiền Quốc Lộ 13 Hiệp Bình Phước,BDS-MASTER-0501,thì cách tiếp cận sẽ khác so với các PA ban đầu,140,same_map_link; same_coord_0m,,,"10.8486272, 106.7188746","10.8486272, 106.7188746",https://maps.app.goo.gl/oHEYY6H9GGykdD9C6,https://maps.app.goo.gl/oHEYY6H9GGykdD9C6
BDS-MASTER-0051,theo Sổ cấp 2017 là 10,BDS-MASTER-0322,rà soát và làm rõ các điểm pháp lý sau,140,same_map_link; same_coord_0m,,2025-10-01,"10.860864, 106.699926","10.860864, 106.699926",https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5,https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5
BDS-MASTER-0051,theo Sổ cấp 2017 là 10,BDS-MASTER-0392,tham gia để đánh giá thêm về chuyên mô á Sếp,140,same_map_link; same_coord_0m,,2026-05-27,"10.860864, 106.699926","10.860864, 106.699926",https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5,https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5
BDS-MASTER-0052,Asia Phú Mỹ – Bình Chánh (dự án do anh Hiếu-GĐPL giới thiệu) 1,BDS-MASTER-0077,sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC,140,same_map_link; same_coord_0m,,,"10.710113, 106.6489317","10.710113, 106.6489317",https://maps.app.goo.gl/H57L1w8ReXXNhtb99,https://maps.app.goo.gl/H57L1w8ReXXNhtb99
BDS-MASTER-0052,Asia Phú Mỹ – Bình Chánh (dự án do anh Hiếu-GĐPL giới thiệu) 1,BDS-MASTER-0110,Nơ Trang Long,140,same_map_link; same_coord_0m,,,"10.710113, 106.6489317","10.710113, 106.6489317",https://maps.app.goo.gl/H57L1w8ReXXNhtb99,https://maps.app.goo.gl/H57L1w8ReXXNhtb99
BDS-MASTER-0052,Asia Phú Mỹ – Bình Chánh (dự án do anh Hiếu-GĐPL giới thiệu) 1,BDS-MASTER-0324,sẽ được cải thiện hơn,140,same_map_link; same_coord_0m,,,"10.710113, 106.6489317","10.710113, 106.6489317",https://maps.app.goo.gl/H57L1w8ReXXNhtb99,https://maps.app.goo.gl/H57L1w8ReXXNhtb99
BDS-MASTER-0052,Asia Phú Mỹ – Bình Chánh (dự án do anh Hiếu-GĐPL giới thiệu) 1,BDS-MASTER-0383,này với các điều kiện sau,140,same_map_link; same_coord_0m,,,"10.710113, 106.6489317","10.710113, 106.6489317",https://maps.app.goo.gl/H57L1w8ReXXNhtb99,https://maps.app.goo.gl/H57L1w8ReXXNhtb99
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0121,(FS),140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0129,Hải Nhân 4,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0140,cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3,140,same_map_link; same_coord_0m,2026-06-29,2026-07-02,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0146,không đạt được hiệu quả với NPV,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0160,KDC An Tôn theo 02 phương án quy hoạch,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0188,Parklane,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0220,Richland Quận 9,140,same_map_link; same_coord_0m,2026-06-29,2026-07-02,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0232,trên có diện tích hơn 77ha,140,same_map_link; same_coord_0m,2026-06-29,2025-08-13,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0245,Hải Nhân,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0252,Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0257,do mình có điều chỉnh qh 1/500,140,same_map_link; same_coord_0m,2026-06-29,2023-09-25,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0288,KS 25 Trần Phú sẽ đi theo PA 5 tầng nổi + 1 tầng hầm,140,same_map_link; same_coord_0m,2026-06-29,2025-04-28,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0297,Với phương án của mình trước là làm phân kh,140,same_map_link; same_coord_0m,2026-06-29,2023-09-25,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0327,triển khai chưa mng Team đã trao đổi với A Sơn Trợ lý để lên list các dự án này à,140,same_map_link; same_coord_0m,2026-06-29,2023-10-15,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0360,chưa bàn giao nên chưa dc vào ở à,140,same_map_link; same_coord_0m,2026-06-29,2025-04-11,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0363,có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm),140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0396,trên có diện tích,140,same_map_link; same_coord_0m,2026-06-29,2025-08-13,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0423,HAI NHAN,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0493,Parklane P,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0502,thì họ sẽ làm như thế nào Huy M - IM Rồi anh tính phương án thử by Admin 01,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0055,Chưa đặt tên,BDS-MASTER-0503,đã được đưa vào danh sách thí điểm 171 Số thự tự 41,140,same_map_link; same_coord_0m,2026-06-29,,"10.970034, 106.715651","10.970034, 106.715651",https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0056,chung cư Thuận Nghiệp - DT743C,BDS-MASTER-0190,Phú Quang – Phương án bổ sung tiền sử dụng đất (LURF) và chi phí liên quan đến phần đất công trong dự án,140,same_map_link; same_coord_0m,2025-04-09,2025-03-12,"10.6963753, 106.6108851","10.6963753, 106.6108851",https://maps.app.goo.gl/UEv62Ht1RcfDLLML8,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8
BDS-MASTER-0056,chung cư Thuận Nghiệp - DT743C,BDS-MASTER-0282,CCN Giao Yến cũng đang ở bước đầu xin dự án,140,same_map_link; same_coord_0m,2025-04-09,2023-04-26,"10.6963753, 106.6108851","10.6963753, 106.6108851",https://maps.app.goo.gl/UEv62Ht1RcfDLLML8,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8
BDS-MASTER-0056,chung cư Thuận Nghiệp - DT743C,BDS-MASTER-0328,trước năm 2024 đúng thật là thấy giá chung cư của HN thấy thấp hơn SG nếu nhìn vị trí có tính tương đương,140,same_map_link; same_coord_0m,2025-04-09,2024-12-07,"10.6963753, 106.6108851","10.6963753, 106.6108851",https://maps.app.goo.gl/UEv62Ht1RcfDLLML8,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8
BDS-MASTER-0056,chung cư Thuận Nghiệp - DT743C,BDS-MASTER-0361,chợ lớn có khi phải điều chỉnh ranh Dự án Chợ Lớn đang làm quy hoạch anh Tài đã có cập nhật ranh Metro vào rồi,140,same_map_link; same_coord_0m,2025-04-09,2024-11-25,"10.6963753, 106.6108851","10.6963753, 106.6108851",https://maps.app.goo.gl/UEv62Ht1RcfDLLML8,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8
BDS-MASTER-0056,chung cư Thuận Nghiệp - DT743C,BDS-MASTER-0405,được tính bằng cách lấy tổng doanh thu trừ các chi phí vận hành trực tiếp (như chi phí phòng,140,same_map_link; same_coord_0m,2025-04-09,2025-06-29,"10.6963753, 106.6108851","10.6963753, 106.6108851",https://maps.app.goo.gl/UEv62Ht1RcfDLLML8,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8
BDS-MASTER-0059,12ha KDC Vĩnh Phú gần Phú Quang,BDS-MASTER-0161,Khu đất Ngô Chí Quốc Bình Chiểu Thủ Đức,140,same_map_link; same_coord_0m,2026-05-08,2023-08-03,"10.8868153, 106.7156351","10.8868153, 106.7156351",https://goo.gl/maps/Empzn8zwhyULFrqV8,https://goo.gl/maps/Empzn8zwhyULFrqV8
BDS-MASTER-0059,12ha KDC Vĩnh Phú gần Phú Quang,BDS-MASTER-0189,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án,140,same_map_link; same_coord_0m,2026-05-08,2023-11-27,"10.8868153, 106.7156351","10.8868153, 106.7156351",https://goo.gl/maps/Empzn8zwhyULFrqV8,https://goo.gl/maps/Empzn8zwhyULFrqV8
BDS-MASTER-0059,12ha KDC Vĩnh Phú gần Phú Quang,BDS-MASTER-0393,theo link bên dưới,140,same_map_link; same_coord_0m,2026-05-08,2023-05-18,"10.8868153, 106.7156351","10.8868153, 106.7156351",https://goo.gl/maps/Empzn8zwhyULFrqV8,https://goo.gl/maps/Empzn8zwhyULFrqV8
BDS-MASTER-0063,chung cư tại Tân Bình,BDS-MASTER-0131,KDC Minh Hưng tại xã Minh Hưng,140,same_map_link; same_coord_0m,2022-11-16,2022-12-14,"10.93497, 106.7618721","10.93497, 106.7618721",https://goo.gl/maps/sMLMvWwegyerE3jJ9,https://goo.gl/maps/sMLMvWwegyerE3jJ9
BDS-MASTER-0063,chung cư tại Tân Bình,BDS-MASTER-0338,ANANTARA THAM CHIẾU THEO DỰ ÁN PHÚ HẢI Bảng so sánh,140,same_map_link; same_coord_0m,2022-11-16,2022-11-18,"10.93497, 106.7618721","10.93497, 106.7618721",https://goo.gl/maps/sMLMvWwegyerE3jJ9,https://goo.gl/maps/sMLMvWwegyerE3jJ9
BDS-MASTER-0064,có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m,BDS-MASTER-0076,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,140,same_map_link; same_coord_0m,2022-09-06,2022-09-06,"10.8569731, 106.7820395","10.8569731, 106.7820395",https://goo.gl/maps/g4UerEukDLx9YjWt5,https://goo.gl/maps/g4UerEukDLx9YjWt5
BDS-MASTER-0064,có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m,BDS-MASTER-0114,chung cư trên quy đất này có thể theo 2 hướng,140,same_map_link; same_coord_0m,2022-09-06,2022-08-26,"10.8569731, 106.7820395","10.8569731, 106.7820395",https://goo.gl/maps/g4UerEukDLx9YjWt5,https://goo.gl/maps/g4UerEukDLx9YjWt5
BDS-MASTER-0065,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,BDS-MASTER-0102,728 Cách Mạng Tháng 8 Tổng mức đầu tư (Chưa VAT),140,same_map_link; same_coord_0m,2023-08-03,,"10.686804, 106.936193","10.686804, 106.936193",https://maps.app.goo.gl/QVMCmJp83pMBNKrL8,https://maps.app.goo.gl/QVMCmJp83pMBNKrL8
BDS-MASTER-0065,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,BDS-MASTER-0403,đang ở giai đoạn đ,140,same_map_link; same_coord_0m,2023-08-03,2024-07-24,"10.686804, 106.936193","10.686804, 106.936193",https://maps.app.goo.gl/QVMCmJp83pMBNKrL8,https://maps.app.goo.gl/QVMCmJp83pMBNKrL8
BDS-MASTER-0065,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,BDS-MASTER-0442,của Nova đang khởi công t,140,same_map_link; same_coord_0m,2023-08-03,2023-06-06,"10.686804, 106.936193","10.686804, 106.936193",https://maps.app.goo.gl/QVMCmJp83pMBNKrL8,https://maps.app.goo.gl/QVMCmJp83pMBNKrL8
BDS-MASTER-0067,the Bale tại Phan Thiết,BDS-MASTER-0489,Bale,140,same_map_link; same_coord_0m,2022-10-11,,"10.95053, 108.1977213","10.95053, 108.1977213",https://goo.gl/maps/VFB9RLFqHkCjVD4Y6,https://goo.gl/maps/VFB9RLFqHkCjVD4Y6
BDS-MASTER-0068,tại 353 Nơ Trang Long,BDS-MASTER-0221,THEO PHƯƠNG ÁN KINH DOANH ANH CƯỜNG – TMĐT Ko bao gồm ĐẤT Kết quả kinh doanh – PA vận hành 15 năm + GOP bình q,140,same_map_link; same_coord_0m,2025-10-07,2025-10-07,"10.8195551, 106.702349","10.8195551, 106.702349",https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing,https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing
BDS-MASTER-0069,ở khu vực gần đó đã được duyệt giá đất (như Emerald 2,BDS-MASTER-0150,đấu giá 77ha,140,same_map_link; same_coord_0m,2025-08-08,,"10.888428, 106.6985811","10.888428, 106.6985811",https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9,https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9
BDS-MASTER-0069,ở khu vực gần đó đã được duyệt giá đất (như Emerald 2,BDS-MASTER-0331,đấu thầu,140,same_map_link; same_coord_0m,2025-08-08,,"10.888428, 106.6985811","10.888428, 106.6985811",https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9,https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9
BDS-MASTER-0074,cao tầng Việt An,BDS-MASTER-0296,Thông tin quyết định chủ trương đầu tư/pháp lý dự án/thông tin quy hoạch dự án - Thông tin đơn vị khác tham,140,same_map_link; same_coord_0m,2024-12-06,,"10.9574728, 106.7074293","10.9574728, 106.7074293",https://goo.gl/maps/xNEqZWHrXNzKYLHe6,https://goo.gl/maps/xNEqZWHrXNzKYLHe6
BDS-MASTER-0074,cao tầng Việt An,BDS-MASTER-0432,by Huy M - IM,140,same_map_link; same_coord_0m,2024-12-06,2024-12-06,"10.9574728, 106.7074293","10.9574728, 106.7074293",https://goo.gl/maps/xNEqZWHrXNzKYLHe6,https://goo.gl/maps/xNEqZWHrXNzKYLHe6
BDS-MASTER-0074,cao tầng Việt An,BDS-MASTER-0472,thương hiệu Trump đầu tiên tại Việt Nam - Tuổi Trẻ Online Chiều 21-5,140,same_map_link; same_coord_0m,2024-12-06,2025-05-25,"10.9574728, 106.7074293","10.9574728, 106.7074293",https://goo.gl/maps/xNEqZWHrXNzKYLHe6,https://goo.gl/maps/xNEqZWHrXNzKYLHe6
BDS-MASTER-0074,cao tầng Việt An,BDS-MASTER-0476,trên đã có các nhà đàu tư đăng ký tham gia đấu thầu,140,same_map_link; same_coord_0m,2024-12-06,,"10.9574728, 106.7074293","10.9574728, 106.7074293",https://goo.gl/maps/xNEqZWHrXNzKYLHe6,https://goo.gl/maps/xNEqZWHrXNzKYLHe6
BDS-MASTER-0074,cao tầng Việt An,BDS-MASTER-0477,tuy đạt hiệu quả đầu tư về mặt tính t,140,same_map_link; same_coord_0m,2024-12-06,2024-12-06,"10.9574728, 106.7074293","10.9574728, 106.7074293",https://goo.gl/maps/xNEqZWHrXNzKYLHe6,https://goo.gl/maps/xNEqZWHrXNzKYLHe6
BDS-MASTER-0076,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,BDS-MASTER-0114,chung cư trên quy đất này có thể theo 2 hướng,140,same_map_link; same_coord_0m,2022-09-06,2022-08-26,"10.8569731, 106.7820395","10.8569731, 106.7820395",https://goo.gl/maps/g4UerEukDLx9YjWt5,https://goo.gl/maps/g4UerEukDLx9YjWt5
BDS-MASTER-0077,sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC,BDS-MASTER-0110,Nơ Trang Long,140,same_map_link; same_coord_0m,,,"10.710113, 106.6489317","10.710113, 106.6489317",https://maps.app.goo.gl/H57L1w8ReXXNhtb99,https://maps.app.goo.gl/H57L1w8ReXXNhtb99
BDS-MASTER-0077,sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC,BDS-MASTER-0324,sẽ được cải thiện hơn,140,same_map_link; same_coord_0m,,,"10.710113, 106.6489317","10.710113, 106.6489317",https://maps.app.goo.gl/H57L1w8ReXXNhtb99,https://maps.app.goo.gl/H57L1w8ReXXNhtb99
BDS-MASTER-0077,sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC,BDS-MASTER-0383,này với các điều kiện sau,140,same_map_link; same_coord_0m,,,"10.710113, 106.6489317","10.710113, 106.6489317",https://maps.app.goo.gl/H57L1w8ReXXNhtb99,https://maps.app.goo.gl/H57L1w8ReXXNhtb99
BDS-MASTER-0079,theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026,BDS-MASTER-0265,này hồi xưa mình có thông tin nhưng sau đó đề xuất là không quan tâm sâu do có 2 nhược điểm lớn là,140,same_map_link; same_coord_0m,2025-09-11,2023-09-07,"10.784153, 106.725690","10.784153, 106.725690",https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6,https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6
BDS-MASTER-0083,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,BDS-MASTER-0098,2769m2 tại Đà Nẵng,140,same_map_link; same_coord_0m,2022-08-09,2022-08-03,"10.6312837, 107.0212037","10.6312837, 107.0212037",https://goo.gl/maps/JtDt3jc8pMZ3n7xH9; https://goo.gl/maps/GPLvd34uRNT1EL5bA; https://goo.gl/maps/oJP5R9Jfe8yAcrWY6,https://goo.gl/maps/JtDt3jc8pMZ3n7xH9; https://goo.gl/maps/GPLvd34uRNT1EL5bA; https://goo.gl/maps/oJP5R9Jfe8yAcrWY6
BDS-MASTER-0083,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,BDS-MASTER-0126,Cảng Sài Gòn – Thép Việt,140,same_map_link; same_coord_0m,2022-08-09,2022-08-09,"10.6312837, 107.0212037","10.6312837, 107.0212037",https://goo.gl/maps/JtDt3jc8pMZ3n7xH9; https://goo.gl/maps/GPLvd34uRNT1EL5bA; https://goo.gl/maps/oJP5R9Jfe8yAcrWY6,https://goo.gl/maps/JtDt3jc8pMZ3n7xH9; https://goo.gl/maps/GPLvd34uRNT1EL5bA; https://goo.gl/maps/oJP5R9Jfe8yAcrWY6
