candidate_key,existing_project_id,project_name_candidate,mention_count,first_report_date,latest_report_date,map_urls,land_area_mentions,price_mentions,sample_excerpt
có tiềm năng để phát triển dự án khu đô thị,,có tiềm năng để phát triển Dự án Khu đô thị,1,,,,400 ha,80.000 tỷ,"P.ĐT tổng hợp báo cáo các nội dung như sau để triển khai đánh giá tiếp theo về Dự án: 1. Về Vị trí: Khu vực dự án có tiềm năng để phát triển Dự án Khu đô thị. 2. Về Pháp lý: Cần bổ sung thêm các thông tin sau: + Pháp lý đất: Bổ sung cơ cấu đất, hiện trạng sử dụng đất… để ước tính phương án bồi thường + Pháp lý quy hoạch: Lên phương án Quy hoạch Phân khu 1/2000 của Dự án Để ước tính Tổng mức Đầu tư xây dựng Phương án kinh doanh Ước tính tiền sử dụng đất Các nội dung này cần các phòng ban chuyên môn (Pháp lý, Quy hoạch..) làm việc với cơ quan nhà nước/Đối tác để lấy các thông tin và lên phương án đề xuất 3. Về doanh nghiệp: Cần có doanh nghiệp hoặc liên doanh có năng lực để tham gia đấu thầu dự án có quy mô hơn 400 ha, TMĐT hơn 80.000 tỷ 4. Về Đấu thầu: Phòng Pháp lý nghiên cứu quy trình đấu thầu dự án có sử dụng đất theo Luật Đấu thầu 2023, Luật Đất Đai 2024. NĐ 115/2024… các quy định pháp luật hiện hành."
nhà ở lực lượng vũ trang nhân dân quận 12,,nhà ở lực lượng vũ trang nhân dân Quận 12,1,,,https://maps.app.goo.gl/xg6rRMGswq5scyCbA; https://maps.app.goo.gl/whvDoK2djK9ZczAK8,"1,18 ha; 5,5 ha; 5,8 ha","904,9 tỷ; 11,2 tr/m2; 081,2 tỷ; 24,1 tr/m2; 105,38 tỷ; 93,1 tỷ; 16,8 tỷ; 222,8 tỷ; 134,7 tỷ; 24,7 tr/m2; 610,6 tỷ; 566,4 tỷ; 99 tỷ","P.ĐT báo cáo anh Mr Mike1 -CEO về hiệu quả sơ bộ cho dự án nhà ở lực lượng vũ trang nhân dân Quận 12. 1. Dự án Nhà ở lực lượng vũ trang nhân dân khu tái định cư Tân Thới Nhất (Depot Tham Lương), Quận 12 - Vị trí: https://maps.app.goo.gl/xg6rRMGswq5scyCbA - Tổng diện tích: 1,18 ha - Quy mô công trình: 2 block (1 NOTM, 1 NOXH) cao 12 tầng, 1 hầm - Tổng sản phẩm: NOTM: 129 căn NOXH: 539 căn - Tổng mức đầu tư: 904,9 tỷ (suất đầu tư xây dựng công trình : 11,2 tr/m2) - Tổng doanh thu: 1.081,2 tỷ (giá bán NOTM: 57tr./m2, giá bán NOXH: 24,1 tr/m2) Hiệu quả đầu tư: - LNTT: 105,38 tỷ - LNST: 93,1 tỷ - NPV: 16,8 tỷ - IRR: 16,0% - LNTT/TMĐT: 11,65% - LNTT/Vốn CSH: 50,5% 2. Dự án Nhà ở lực lượng vũ trang nhân dân khu Hiệp Thành 5,5 ha, Quận 12 - Vị trí: https://maps.app.goo.gl/whvDoK2djK9ZczAK8 - Tổng diện tích: 5,8 ha - Quy mô công trình: 4 block (1 NOTM, 3 NOXH) cao 14 tầng, 1 hầm - Tổng sản phẩm: NOTM: 659 căn NOXH: 3.012 căn - Tổng mức đầu tư: 4.222,8 tỷ (suất đầu tư xây dựng công trình : 11,2 "
đã và đang thực hiện trên bctc,,đã và đang thực hiện trên BCTC,1,,,,,6.700 tỷ,"Báo cáo anh Mr Mike1 -CEO, P.ĐT báo cáo tóm tắt định giá lại Công ty DXG: Áp dụng phương pháp định giá tài sản ròng bằng việc xác định lại giá trị của các dự án/quỹ đất của DXG được ghi nhận trên BCTC. P.ĐT thông tin thêm, việc trình bày thông tin các dự án đã và đang thực hiện trên BCTC, báo cáo thường niên, báo cáo bạch… DXG có phần hạn chế hơn so với DIG, HDC nên trong quá trình thực hiện định giá, P.ĐT luôn thận trọng khi định giá lại các dự án để làm cơ sở ước tính giá trị cổ phiếu DXG hợp lý nhất. A. Thông tin Công ty Tên công ty: Công ty Cổ phần Tập đoàn Đất Xanh Vị trí trụ sở: 2W Ung Văn Khiêm, P.25, Bình Thạnh, HCM Thị giá cổ phiếu ngày 12/05/2025: 16.300 đồng/cổ phiếu Số lượng cổ phiếu đang lưu hành: 870.849.983 cổ phiếu B. Các giả định trong bài tính Trong giá trị hàng tồn kho bao gồm bất động sản dở dang, bất động sản thành phẩm và hàng hóa. P.Đầu tư ưu tiên định giá lại BĐS dở dang và giá trị BĐS thành phẩm, BDS hàng hóa tạm ghi nhận theo giá trị sổ sách. Dự án Gem Sky Wor"
thuận nghiệp ở dĩ an,,Thuận Nghiệp ở Dĩ An,1,,,https://maps.app.goo.gl/9D1AGeGBDHSvttic8,"2,2ha; 3,3ha; 170m²",,"P.ĐT xin ý kiến chỉ đạo từ anh Mr Mike1 -CEO về dự án Thuận Nghiệp ở Dĩ An, Bình Dương, nguồn Sếp Tâm như sau: 1/ Vị trí dự án: 2/ So sánh dự án Thuận Nghiệp và Phú Gia Khiêm Thuận Nghiệp Phú Gia Khiêm Diện tích 2,2ha 3,3ha Loại đất SKC SKC Thời hạn Thuê đất trả tiền hằng năm, đến 10/09/2031 Đơn giá 7tr/m² 21,2tr/m² Ghi chú: Dự án 100% đất SKC, vì thế CĐT có mua thêm 1 căn nhà dân (170m² đất ở) với mục đích gộp thửa vào 2,2ha để làm dự án => Tuy nhiên sẽ không triển khai được theo quy định pháp luật 3/ Nhận định: Dự án nằm ở vị trí tốt hơn dự án Phú Gia Khiêm, tiếp giáp mặt tiền đường DT 743C rộng khoảng 16m, đường trải nhựa Giá bán bằng 1/3 so với giá Phú Gia Khiêm (cùng loại đất SKC) Tuy nhiên, vì dự án 100% đất SKC và chưa chấp thuận chủ trương đầu tư, dẫn đến không đủ điều kiện làm dự án Nhà ở và cũng không đủ điều kiện để xin thí điểm làm nhà ở thương mại (Như Phú Gia Khiêm) Vị trí dự án: https://maps.app.goo.gl/9D1AGeGBDHSvttic8 Google マップで地図を検索。乗換案内、路線図、ドライブルート、ストリートビューも。見やすい地図で"
noxh sẽ giúp tạo thương hiệu tích cực cho công ty trên thị trường,,NOXH sẽ giúp tạo thương hiệu tích cực cho công ty trên thị trường,1,,,,"405,5 m2; 1,1ha",649 tỷ; 723 tỷ,"Phòng Đầu tư đánh giá 6 khu đất đầu thấu trên dựa trên các tiêu chí như sau: Quy mô, đặc điểm của từng khu đất: Các khu đất phải đảm bảo phù hợp cho việc triển khai nhà ở, vị trí và hạ tầng giao thông kết nối phải thuận lợi cho cư dân khi tiếp cận các tiện ích cơ bản cũng như di chuyển sang khu vực lân cận. Thị trường: Bên cạnh đó, Thị trường khu vực cũng là yếu tố quan trọng cần cân nhắc. Vì NOXH có sự giới hạn đối tượng khách hàng mua. Ngoài ra, giá bán NOXH cũng được phê duyệt từ Nhà Nước và phải được cố định mà không được tùy ý thay đổi. Do đó thị trường xung quanh phải đảm bảo cho việc triển khai bán hàng nhanh chóng, giúp công ty sớm thu hồi vốn giảm thiểu rủi ro và chi phí khi triển khai kéo dài. Sự phù hợp với công ty: Việc bắt tay triển khai dự án NOXH sẽ giúp tạo thương hiệu tích cực cho công ty trên thị trường. Tuy nhiên vì đây là những dự án đầu tay với mục tiêu lớn là tích lũy năng lực triển khai, do đó công ty cũng phải cân nhắc ưu tiên chọn những dự án có quy mô vừa phải"
là 300 tỷ giải thích hệ số sử dụng đất càng cao từ 3,,là 300 tỷ * Giải thích hệ số sử dụng đất càng cao (từ 3,1,,,,"1,6ha",300 tỷ,"Phòng ĐT báo cáo anh Mr Mike1 -CEO về độ nhạy lợi nhuận trước thuế / Tổng mức đầu tư giữa đơn giá đóng tiền sử dụng đất và hệ số sử dụng đất toàn khu của dự án 1,6ha Phan Văn Hớn như sau: * Bảng độ nhạy lợi nhuận trước thuế / Tổng mức đầu tư giữa đơn giá đóng tiền sử dụng đất và hệ số sử dụng đất toàn khu, khi chi phí chuyển nhượng dự án là 300 tỷ * Giải thích hệ số sử dụng đất càng cao (từ 3,73 đến 8) nhưng đơn giá đóng tiền sử dụng đất lại giảm, vì trong bài toán thặng dư theo hướng dẫn cách tính của TP.HCM: Giá trị thặng dư = Doanh thu (1) – Chi phí xây dựng (2) – Lợi nhuận nhà đầu tư (3) Khi hệ số sử dụng đất tăng dần từ 3,73 đến 8: (1) Doanh thu: Doanh thu tăng do diện tích sàn thương phẩm tăng khi hệ số sử dụng đất tăng, trong khi đơn giá bán không đổi (chỉ một biến số diện tích sàn thương phẩm tăng) (2) Chi phí xây dựng: Chi phí xây dựng tăng nhanh hơn doanh thu (1). Khi hệ số sử dụng đất tăng (từ 3,73 đến 8), dẫn đến số tầng chung cư tăng từ 15 đến 33 tầng, điều này làm cho đơn"
chung cư cao cấp that 1,,chung cư cao cấp THAT 1,1,,,https://maps.app.goo.gl/o5yA5cAF8qJoTZqW8,34.916 m2; 25.852 m2; 9.064 m2,118tr/m2; 32tr/m2; 6.463 tỷ; 1.738 tỷ; 3.025 tỷ,"Báo cáo tóm tắt dự án chung cư cao cấp THAT 1.Vị trí: Võ Nguyên Giáp, Sơn Trà Đà Nẵng Quy mô dự án: 34.916 m2 (25.852 m2 được giao đất, 9.064 m2 đất thuê) Định vị maps: https://maps.app.goo.gl/o5yA5cAF8qJoTZqW8 2.Pháp lý: Hiện trạng pháp lý: Dự án ban đầu được định hướng triển khai thành khu biệt thự cao cấp kết hợp Khách sạn + TMDV. Sau đó, chủ đầu tư đã xin điều chỉnh thành tổ hợp căn hộ chung cư cao cấp và Khách sạn TMDV. Cho đến nay, tình hình thực hiện dự án chưa triển khai gì thêm. Dựa vào báo cáo pháp lý từ Phòng Pháp lý và Anh Tịnh-pháp lý địa phương Đà Nẵng, P.Đầu tư tổng hợp và tóm tắt đánh giá pháp lý dự án như sau: Chủ trương đầu tư: Hiện chủ đầu tư chưa cung cấp hồ sơ về việc điều chỉnh chủ trương đầu tư từ dự án thấp tầng lên dự án căn hộ+khách sạn cao tầng. Một số thông tin cho thấy dự án chưa có chủ trương đầu tư điều chỉnh nêu trên. Pháp lý đất: Giai đoạn đầu, dự án được cấp 35 GCN (34 GCN đất ở và 1 GCN công trình Khách sạn+TMDV). Sau đó, vào năm 2011, Chủ đầu tư đã x"
không khả thi,,không khả thi,1,,,,,475 tỷ; 35tr/m2; 769 tỷ; 57tr/m2; 100tr/m2,"Dạ hồi tháng 1/2025 Phòng có tính toán dựa trên cổng thông tin quy hoạch Thành phố Hồ Chí Minh: hệ số sử dụng đất là 4 và dân số là 572 dân, vì thế Phòng tính toán theo 2 phương án như sau: Phương án 1: Tính hết số dân theo quy hoạch 1.2000 (572 dân) Phương án 2: Tính hết hệ số sử dụng đất và tầng cao theo quy hoạch 1/2000, phải xin thêm 661 dân Tiền sử dụng đất tính theo phương pháp thặng dư theo phương án 1 là 475 tỷ, tương đương với 35tr/m2 và phương án 2 là 769 tỷ,tương đương với 57tr/m2. Tuy nhiên, nếu tiền sử dụng đất tính theo bảng giá đất nhà nước 100tr/m2 thì dự án không khả thi với bất kỳ giá mua nào Begin quote, Mr Mike1 -CEO , 2/10/2025 7:54... by Unknown User"
là 300 tỷ độ nhạy lợi nhuận trước thuế tổng mức đầu tư của dự án,,là 300 tỷ - Độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư của dự án,1,,,,"1,6ha",300 tỷ,"P.ĐT báo cáo anh Mr Mike1 -CEO về cập nhật độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư giữa đơn giá đóng tiền sử dụng đất và hệ số sử dụng đất toàn khu của dự án 1,6ha Phan Văn Hớn như sau: - Chi phí chuyển nhượng của dự án là 300 tỷ - Độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư của dự án với 2 biến số: Biến số 1: Đơn giá đóng tiền sử dụng đất trên tổng diện tích đất phù hợp quy hoạch Biến số 2: Hệ số sử dụng đất toàn khu (tầng cao và dân số phải tăng thêm tương ứng với hệ số sử dụng Đất) Xuất pdf dùm a. Hình này load ko đc by Unknown User"
chen sea 3,,Chen Sea 3,1,,,https://maps.app.goo.gl/Wji4ey8prbGM2zHJ6,"3,1ha; 4,7ha; 1,6ha; 7.734m²; 4,78ha; 3,3ha",,"P.ĐT báo cáo anh Mr Mike1 -CEO về tổng quan dự án Chen Sea 3,1ha tại xã Cửa Dương, huyện Phú Quốc, tỉnh Kiên Giang như sau: 1/ Vị trí: - Dự án tiếp giáp đường nội bộ đường Dinh Bà, cách đường Dinh Bà khoảng 350m, cách sân bay Quốc tế Phú Quốc khoảng 19km - Hiện trạng: Dự án đã khai thác 1 phần, với 22 căn villas tương ứng 36 phòng 2/ Pháp lý Đất: Quy mô dự án là 4,7ha, trong đó: - Đã có GCN QSDĐ 3,1ha: Mục đích sử dụng đất là đất sản xuất kinh doanh; Thời hạn sử dụng đất đến 16/12/2052. Nguồn gốc đất: Thuê đất trả tiền 1 lần - Phần diện tích còn lại 1,6ha: Chưa được cấp GCN và chưa giải phóng đền bù 3/ Pháp lý Quy hoạch: Đã có phê duyệt quy hoạch chi tiết 1/500 số 272/QĐ-BQLKKTPQ ngày 02/11/2023, quy mô 4,7ha, trong đó chỉ triển khai 3,1ha – khu 1: - Phần đất 3,1ha – khu 1 đã triển khai đi vào khai thác: Với các loại hình như 22 căn villas, tiện ích: Khối lễ tân và Spa, 1 nhà hàng và 1 nhà văn phòng. Với tổng diện tích sàn: 7.734m² 4/ Pháp lý đầu tư: Đã có giấy chứng nhận đầu tư, quy m"
đã được chấp thuận đầu tư dự án và đã được gia hạn tiến độ 02 năm kể từ ngày được cấp phép xây dựng,,đã được chấp thuận đầu tư dự án và đã được gia hạn tiến độ 02 năm kể từ ngày được cấp phép xây dựng ,1,,,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8,"2,3ha; 115ha; 85ha; 8,4ha; 82m²; 88m²; 227m²; 2.3 ha","403 tỷ; 1.569 tỷ; 507 tỷ; 173 tỷ; 2,1 tỷ; 614 tỷ","P.ĐT báo cáo anh Mr Mike1 -CEO về việc cập nhật hiệu quả tài chính và pháp lý dự án 2,3ha Bình Điền – Bình Chánh, sau khi phòng Pháp lý và phòng Quy hoạch gặp đối tác như sau: 1/ Vị trí: - Cách Chợ Đầu Mối Bình Điền khoảng 400m, cách ranh Quận 8 và huyện Bình Chánh khoảng 150m, cách UBND huyện Bình Chánh khoảng 3,2km, cách nút giao Vành Đai 2 - Nguyễn Văn Linh khoảng 2,2km - Tiềm năng trong tương lai: + Cách bến xe miền Tây mới khoảng 1,5km + Nằm giữa trung tâm lưu thông hàng hóa I (khu E -115ha) và trung tâm lưu thông hàng hóa II (khu D - 85ha) thuộc khu đô thị Phú Mỹ Hưng => Dự kiến 30/04/2025 hoàn tất việc giải phóng đền bù + Cách các nhà ga thuộc tuyến Metro line 7 trong bán kính 500m 2/ Pháp lý 2.1/ Phòng Pháp lý - Dự án đã được chấp thuận đầu tư dự án và đã được gia hạn tiến độ 02 năm kể từ ngày được cấp phép xây dựng - Hiện chủ đầu tư chưa thực hiện ký quỹ, dự án sẽ bị chấm dứt hoạt động nếu nhà đầu tư không ký quỹ hoặc không có bảo lãnh nghĩa vụ ký quỹ (mức ký quỹ là 1%/ Vốn đầ"
tiếp giáp mặt tiền đường phan văn hớn,,tiếp giáp mặt tiền đường Phan Văn Hớn,1,,,https://maps.app.goo.gl/TcCLZG1kwf9F7wCu5,"1,6ha; 1.6ha",350 tỷ; 1.375 tỷ; 252 tỷ; 547 tỷ,"P.ĐT báo cáo nhanh anh Mr Mike1 -CEO về định giá dự án 1,6ha Phan Văn Hớn, phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh (nguồn anh Tâm – Phó Chủ tịch) như sau: 1/ Vị trí: - Dự án tiếp giáp mặt tiền đường Phan Văn Hớn, cách giao lộ đường Phan Văn Hớn và Trường Chinh khoảng 1km + Cách Sân bay Tân Sơn Nhất khoảng 3,5km + Cách ga Deport Tham Lương khoảng 1km 2/ Hiện trạng: Có nhà xưởng trên đất – Đất sạch 3/ Cơ sở pháp lý: Dự án đã có quyết định chủ trương đầu tư và cũng có thể có quy hoạch 1/500. Nhưng không được cung cấp 3.1/ Pháp lý đất: Đã có GCN quyền sử dụng đất; Chiều dài mặt tiền: 41m, chiều sâu: 227m Cơ cấu sử dụng đất: Tổng diện tích 16.471,8 Đất ở 197 Đất HNK 16.274,8 3.2/ Pháp lý quy hoạch: Theo thông tin quy hoạch Thành phố Hồ Chí Minh Đồ án ""Đồ án điều chỉnh quy hoạch chi tiết xây dựng đô thị tỷ lệ 1/2000 Khu dân cư Phường Tân Thới Nhất (Khu 2), Quận 12"" đã được UBND Quận 12 phê duyệt tại Quyết định số 628/QĐ- UBND-ĐT ngày 23/12/2008 - Mật độ xây dựng: 40% - Hệ số sử "
phân lô bán nền ở phường long phước ạ vị trí dự án,,phân lô bán nền ở phường Long Phước ạ Vị trí dự án,1,,,https://maps.app.goo.gl/JgiGYy1CTvYwjKz58; https://maps.app.goo.gl/XvU1q69F5AkAa2Br9,,,Dạ em gửi định vị 2 dự án phân lô bán nền ở phường Long Phước ạ Vị trí dự án: ViệtNhân1234: https://maps.app.goo.gl/JgiGYy1CTvYwjKz58 Blue Diamond Riverside: https://maps.app.goo.gl/XvU1q69F5AkAa2Br9
ana mandara villas dalat resort spa,,Ana Mandara Villas Dalat Resort & Spa,1,,,,"3,4ha; 7ha; 186,7m²; 186,67m²; 130,38m²",,"P.ĐT báo cáo anh Tuan Tran-CEO, đánh giá và đề xuất 2 tài sản cho thuê đặc thù của DLR như sau: 1/ Thông tin về Hợp đồng cho thuê của 2 tài sản Hòa Bình và Khu Lê Lai Khu Lê Lai: Đối tượng hợp đồng: 15 căn biệt thự và toàn bộ diện tích đất cho thuê lại của UBND tỉnh Lâm Đồng, khoảng 3,4ha Thời hạn thuê: thuê nhà và thuê lại đất gắn liền với nhà: 50 năm (từ ngày 03/09/2003 đến ngày 02/09/2053) Giá cho thuê năm 2024: 650tr/năm ~54 tr/tháng (đã bao gồm VAT) bao gồm: + Toàn bộ 15 biệt thự: 433tr/năm (đã bao gồm VAT, giá này từ năm 2003 và được áp dụng trong suốt thời hạn thuê) + Giá thuê lại đất của Nhà Nước 2024: 217tr/năm Hòa Bình: Đối tượng hợp đồng: thuê nhà theo hiện trạng (toà nhà hiện nay đã được Sacombank cải tạo, xây mới) gắn liền với cho thuê lại QSD đất Thời hạn thuê: thuê nhà và gắn liền với thuê lại QSD Đất: 50 năm (từ ngày 24/6/2004 đến ngày 24/06/2054) Giá cho thuê năm 2024: 452tr/năm ~ 38tr/tháng (đã bao gồm VAT) bao gồm: + Giá thuê nhà từ 25/06/2024 đến 24/06/2029: 332tr/n"
khách sạn đông á premier tại số 186 14 hùng vương,,khách sạn Đông Á Premier tại số 186/14 Hùng Vương,1,,,,"690,4m²",,"P.ĐT có nhận yêu cầu tính toán hiệu quả dự án khách sạn Đông Á Premier tại số 186/14 Hùng Vương, Phường Lộc Thọ, TP Nha Trang, T. Khánh Hòa, với diện tích đất 690,4m² (nguồn: anh Sơn - trợ lý) Về mặt thị trường, phòng R&D đề xuất khảo sát dự án, do dự án được đánh giá phân khúc 3 sao. Dự án được tọa lạc trong hẻm và phân khúc 3 sao có nhiều phòng và giá cả cạnh tranh nên cần khảo sát thực tế để đánh giá lại phân khúc này, cũng như cập nhật lại thị trường chung của Nha Trang -> Để có đề xuất cho phù hợp"
cần kiểm tra xem có chuyển lên thổ cư để thực hiện dự án chung cư được hay không,,cần kiểm tra xem có chuyển lên thổ cư để thực hiện dự án chung cư được hay không,1,,,https://goo.gl/maps/C86NnDNwQKH22Bek9-,1.2ha,,"Phòng Pháp lý dự án cần kiểm tra xem có chuyển lên thổ cư để thực hiện dự án chung cư được hay không, và nêu rõ quy trình thực hiện dự án Phía đối tác chào bán hiện trạng - Nguồn: Mr. Nhựt - Link Map: https://goo.gl/maps/C86NnDNwQKH22Bek9- Link OneDrive: Dự án 1.2ha đường Thuận An Hòa, P. An Phú - OneDrive (sharepoint.com)"
chung cư trên quy đất này có thể,,chung cư trên quy đất này có thể,1,,,,46000m2; 97086m2; 3800m2; 4433m2; 414 m2; 3.4ha; 3.97ha,60tr/m2; 66tr/m2; 57tr/m2; 4476 tỷ; 6250 tỷ; 950 tỷ,"Phòng pháp lý tư vấn để triển khai phát triển dự án chung cư trên quy đất này có thể theo 2 hướng: + Hướng 1 (muốn triển khai sớm): Vì QH 1/2000 đã quy định rõ quỹ đất này thuộc 1 phần ô đất I.04 có chức năng Khu nhà cao tầng có quy mô 46000m2, dân số 2448 người, 18-23 tầng cao, MĐXD 20%, HSSD 3.85-4.93 => BeeG cần phải mua thêm các thửa đất liền kề để sở hữu đủ phần đất thuộc ô I.04 thì mới có thể làm dự án hoặc tham gia đấu thầu dự án vì BeeG sở hữu lớn phần đất thuộc ô I.04 nên có khả năng trúng thầu cao hơn + Hướng 2 (triển khai trên quỹ đất hiện trạng, không cần mua thêm các thửa liền kề): Mua tích trữ quỹ đất chờ đến khi luật sửa đổi khi không cần phải có đất ở nhưng vẫn thực hiện được dự án vì phù hợp quy hoạch ở. 3. Sản phẩm phát triển thay đổi: + 1494 căn chung cư, DTKD 97086m2 có giá bán trung bình 60tr/m2 sàn thông thủy có VAT tại năm 2024 + 1 sàn TMDV, DTKD 3800m2, giá thuê khoán $8/m2/tháng có VAT từ năm 2026 + 37 căn shophouse, DTKD 4433m2, có giá bán trung bình 66tr/m2 s"
khu nhà ở lộc phú gia,,khu nhà ở Lộc Phú Gia,1,,,https://goo.gl/maps/88psz7y8xzQTcyVn9,690.000 m2; 94 m2; 254m2; 256 m2; 615m2; 603 m2; 1.477m2; 69ha,"1,725 tỷ; 2.5 tr/m2; 13 tr/m2; 11tr/m2; 12.4 tr/m2; 6.9 tr/m2; 10.6 tr/m2; 11.1 tr/m2; 15.5 tr/m2; 13.8 tr/m2; 16.3 tr/m2","Báo cáo Dự án khu nhà ở Lộc Phú Gia với tổng diện tích đất thực hiện dự án là 690.000 m2 (giá chào bán khoảng 1,725 tỷ tương đương 2.5 tr/m2) tại mặt tiền đường ĐH 505 và ĐH 507 thuộc Xã Vĩnh Hòa, Huyện Phú Giáo, Tỉnh Bình Dương: Vị trí dự án: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 643m, giáp đường ĐH 505, đường nhựa rộng khoảng 10m (QH đường dự kiến 32m); + Mặt tiền tiếp giáp đường khoảng 95m, giáp đường ĐH 507 đường nhựa rộng khoảng 10m (QH đường dự kiến 32m). - Dự án tiếp giáp đường quy hoạch: + Bên phải QHTT GTVT tỉnh Bình Dương đường ĐT750B lộ giới 52m kết nối với đường DT741, cách đường DT 741 khoảng 3.5km. - Cách khu công nghiệp An Linh khoảng 12km, cách KCN cao su Đồng Phú khoảng 8km, cách KCN Vĩnh Lộc 2 khoảng 15km, cách KCN Vĩnh Lộc 18km, cách KCN Tạm Lập khoảng 6.5km. Các KDC này đều có quy hoach khu dân cư. - Dự án cách trung tâm hành chính huyên Phú Giáo khoảng 3.4km (theo đường chim bay), cách trục đường chính DT (nối tỉnh Bì"
4ha thị xã phú mỹ,,4ha Thị xã Phú Mỹ,1,,,https://goo.gl/maps/mJAEFg5zdD6J4Xbq8,"4ha; 4,4ha; 42.482m2; 1,2ha; 1ha","600 tỷ; 13,4 tr/m2; 37 tr/m2; 30tr/m2; 68tr/m2; 45tr/m2; 36.5 tr/m2; 53.4 tr/m2; 6.6 tr/m2; 304 tỷ","Báo cáo Dự án 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,4ha (giá chào bán 600 tỷ tương đương 13,4 tr/m2) tại 2 mặt tiền đường Quốc lộ 51 và đường Hùng Vương thuộc Phường Tân Phước, Thị xã Phú Mỹ, tỉnh Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đường nhựa rộng khoảng 25m. - Cách Trung tâm Hành chính Thị xã Phú Mỹ khoảng 1km, cách các tiện ích ngoại khu trong vòng bán kính 2,5km gồm siêu thị Co.opmart, KNG Mall, phòng khám đa khoa, 2 trường Trung học Cơ sở, 2 trường Tiểu học, 6 trường Mần non. - Cách khu công nghiệp: + KCN Phú Mỹ I khoảng 1,5km + KCN Phú Mỹ II khoảng 1,2km + KCN Phú Mỹ III khoảng 3,7km. - Cách Cảng Quốc tế Cái Mép - Thị Vãi khoảng 3km; Định hướng theo Nghị quyết 24 của Bộ Chính trị về phát triển kinh tế - xã hội và bảo đảm quốc phòng, an ninh vùng "
168ha gần khu đa phước onedrive sharepoint,,168ha gần Khu Đa Phước - OneDrive (sharepoint,1,2022-07-19,2022-07-19,https://goo.gl/maps/35GfKER...,168ha,,Trieu Nguyen-PTDT 7/19/2022 5:50 PM Edited Link Onedrive: Dự án 168ha gần Khu Đa Phước - OneDrive (sharepoint.com) Link Map: Link https://goo.gl/maps/35GfKER... by Unknown User
du lịch tại mũi né,,du lịch tại Mũi Né,1,2022-07-19,2022-07-19,,4.7ha; 1.7 ha; 38m2; 3ha; 6ha; 4.2ha; 1.8ha,520tỷ; 11tr/m2; 67.5tỷ; 9.6tr/m2; 550 tỷ; 9.3tr/m2,"Thao L - INVT 7/19/2022 5:45 PM K.ĐT báo cáo anh Tuan Tran-CEO về 02 dự án du lịch tại Mũi Né như sau: - Cụm 02 dự án được kết nối bằng 02 đường chính: Đường ven biển Huỳnh Thúc Kháng – Hồ Xuân Hương hoặc Đường Võ Nguyên Giáp – Nguyễn Hữu Thọ. - Cách các trung tâm tiêu biểu: SB. Phan Thiết: 17km -25p; Trung tâm TP. Phan Thiết: 26km – 35p; Nằm trong cụm dân cư làng chài ven biển hiện hữu. Dự án The Salling Bay với giá chào chuyển nhượng là 520tỷ ~ 11tr/m2 (bao gồm CTXD), tạm uớc tính giá trị CTXD trên đất: 67.5tỷ => đơn giá đất 9.6tr/m2 (Đất TMDV, thuê đẩt trả tiền hằng năm), có quy mô: 4.7ha – Mặt biển 245m, gồm 02 giai đoạn: - GĐ1: . 1.7 ha: Đất thương mại dịch vụ, thuê đất trả tiền hằng năm đến 2058 (còn 36 năm). . Hiện có 325 phòng trong đó 295 phòng khách sạn tiêu chuẩn 4 sao đang hoạt động (Đánh giá sơ bộ chỉ tương ứng với khách sạn 3 sao) với giá thuê phòng: 52-60USD/đêm/phòng 38m2. - GĐ2: . 3ha: Đất thương mại dịch vụ, thuê đất trả tiền hằng năm đến 2049 (còn 27 năm). . Đang xin"
