curated_id,project_name,labeled_items,unclassified_items
BDS-CURATED-0480,không với những hạn chế ở trên,0,0
BDS-CURATED-0420,mở bán mới/dự kiến ở thị trường HCM,0,6
BDS-CURATED-0371,nữa Tính ra thì đúng là như vậy,0,1
BDS-CURATED-0466,tiêu biểu và đang book lịch đi khảo sát thực tế thị trường về giá bán,0,0
BDS-CURATED-0430,định giá Link vị trí,0,0
BDS-CURATED-0392,600 tỷ,1,4
BDS-CURATED-0379,Fenica (16%),2,3
BDS-CURATED-0163,KDC,0,16
BDS-CURATED-0274,12ha đủ lớn để có thể địn hướng triển khai tiện ích cảnh quan,0,0
BDS-CURATED-0377,Ana Mandara Villas Dalat Resort & Spa,0,1
BDS-CURATED-0476,Hiyori e đang tổng hợp thông tin,0,1
BDS-CURATED-0381,NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu,1,8
BDS-CURATED-0395,Phú Đông premier gần PH đang bán giá 37 39,1,3
BDS-CURATED-0443,của DIG,0,0
BDS-CURATED-0445,của mình sẽ thực hiện đồng bộ theo hạ tầng của tỉnh Vậy cầu này làm để kết nói đường bộ ven biể,0,0
BDS-CURATED-0421,này dự kiến 2026 sẽ bắt đầu ra tin à image by Huy M - IM,0,0
BDS-CURATED-0473,đề xuất quan tâm theo file đính kèm,0,0
BDS-CURATED-0401,📷 2,0,0
BDS-CURATED-0434,Aeon Mall hơn 6,0,2
BDS-CURATED-0276,Cát Lái,0,2
BDS-CURATED-0406,KDC Đại Nam T01,0,4
BDS-CURATED-0165,NOXH sẽ giúp tạo thương hiệu tích cực cho công ty trên thị trường,2,2
BDS-CURATED-0413,Vignette Collection đến Hội An Khách sạn Moire Hội An,0,0
BDS-CURATED-0199,cao tầng với,0,0
BDS-CURATED-0237,chung cư nhiều nhưng số lượng dự án và thị trường thì thấy Đà Nẵng có vẻ sôi động hơn à Nhưng condotel ở Đà Nẵ,0,0
BDS-CURATED-0441,cập nhật chốt xin giữ dân số cho PGK là 3800,0,0
BDS-CURATED-0171,dự kiến hợp tác vs,0,0
BDS-CURATED-0446,gần 11,0,3
BDS-CURATED-0448,hơn 72,0,2
BDS-CURATED-0213,này hiện đã thực hiện pháp lý đến gia,0,1
BDS-CURATED-0455,này luôn nhé,0,0
BDS-CURATED-0461,này đã có đánh giá báo cáo Sếp trước đây rồi à,0,0
BDS-CURATED-0422,nằm ở vị trí quỹ đất còn nhiều,0,0
BDS-CURATED-0462,phát triển nhà ở kết họp TOD,0,1
BDS-CURATED-0423,phân lô (,0,1
BDS-CURATED-0424,phía Bắc,0,0
BDS-CURATED-0222,trước năm 2024 đúng thật là thấy giá chung cư của HN thấy thấp hơn SG nếu nhìn vị trí có tính tương đương,0,0
BDS-CURATED-0273,ở vị trí khác nên phương án kinh doanh đưa lên không còn chính xác,0,0
BDS-CURATED-0402,31 Trần Não – PA4,3,3
BDS-CURATED-0403,31 ha,0,0
BDS-CURATED-0201,cần kiểm tra lại QH 1,0,0
BDS-CURATED-0094,không đạt được hiệu quả với NPV,12,29
BDS-CURATED-0247,lớn và có quy mô tương tự dự án Nghiên cứu (Dự án – Hùng Thắng 1,0,0
BDS-CURATED-0425,team đã đi khảo sát,0,0
BDS-CURATED-0228,=> Nên chưa đánh giá hiệu quả dự án theo yếu tố dòng tiền ** Link Drive,0,0
BDS-CURATED-0393,Cty Định Giá Việt,1,2
BDS-CURATED-0190,"Khách sạn 25 Trần Phú, Đà Lạt",0,3
BDS-CURATED-0396,a có trao đổi về việc,3,1
BDS-CURATED-0238,chưa bàn giao nên chưa dc vào ở à,0,0
BDS-CURATED-0367,có một số hạn chế như,5,1
BDS-CURATED-0245,hiện tại mình đang vận hành để xem thử mình có chi phí nào khác cần bổ sung không à,0,0
BDS-CURATED-0221,triển khai chưa mng Team đã trao đổi với A Sơn Trợ lý để lên list các dự án này à,0,0
BDS-CURATED-0271,ở Thái à Bên Thái tuần này đang trong thời gian nghỉ,0,0
BDS-CURATED-0431,3047583976353865173,0,0
BDS-CURATED-0404,Begin quote,0,1
BDS-CURATED-0435,Green Hill 2054482750212548727,0,0
BDS-CURATED-0191,Nguyễn Thiện Thuật và Đoàn Trần Nghiệp - Nha Trang,0,0
BDS-CURATED-0410,PGK,0,3
BDS-CURATED-0296,thông qua đấu thầu nên khả năng cao chỉ thực hiện được chuyển nhượng thông qua hình thức mua cổ phần nên,0,0
BDS-CURATED-0470,xung quanh do phòng R&D tổng hợp,0,0
BDS-CURATED-0472,đã xong phần đất,0,0
BDS-CURATED-0278,Khu nhà ở công nhân và chuyên gia tại xã Nhơn Trạch của Công ty TNHH Vạn Phúc,0,0
BDS-CURATED-0418,k… Gửi lại độ nhạy,0,0
BDS-CURATED-0299,trên đã có các nhà đàu tư đăng ký tham gia đấu thầu,0,0
BDS-CURATED-0312,đã được đưa vào danh sách thí điểm 171 Số thự tự 41,0,0
BDS-CURATED-0248,lớn xảy ra sai phạm nghiêm trọng trong quản lý đất đai của tỉnh Đồng Nai,0,0
BDS-CURATED-0261,thì khả năng cao dự án không phải nộp thêm ạ,0,0
BDS-CURATED-0275,Aqua thì hiện nay Nova đang dừng triển khai ở dự án này,0,0
BDS-CURATED-0436,Greenhill Village … 03,0,0
BDS-CURATED-0230,HLW - Merryaland 1,0,0
BDS-CURATED-0306,Ngọc Hồi Thanh Trì,0,0
BDS-CURATED-0439,Phú Gia Khiêm và Phú Quang,0,0
BDS-CURATED-0411,Serene Đà Nẵng với những nội dung sau,0,3
BDS-CURATED-0283,by Huy M - IM,0,0
BDS-CURATED-0284,bên mình đã đang follow nha a Huy Mai-PTDT Anh đã share hồ sơ cho em rồi nha,0,0
BDS-CURATED-0286,chợ lớn có khi phải điều chỉnh ranh Begin quote,0,0
BDS-CURATED-0239,chợ lớn có khi phải điều chỉnh ranh Dự án Chợ Lớn đang làm quy hoạch anh Tài đã có cập nhật ranh Metro vào rồi,0,0
BDS-CURATED-0241,có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm),0,0
BDS-CURATED-0440,cùn,0,0
BDS-CURATED-0442,của BeeGroup Begin quote,0,0
BDS-CURATED-0204,dự kiến hợp tác vs park hyatt,0,0
BDS-CURATED-0398,hiện tại,1,0
BDS-CURATED-0449,khu vực phía Bắc theo chỉ đạo của Anh Tâm,0,0
BDS-CURATED-0450,khác với tỷ lệ,0,0
BDS-CURATED-0451,lớn thì gần như sẽ phải đấu t,0,0
BDS-CURATED-0419,lớn thì gần như sẽ phải đấu thầu,0,0
BDS-CURATED-0453,nhiều và phân mảng,0,0
BDS-CURATED-0454,nào mà đóng tssđ hàng năm nó cứ t,0,0
BDS-CURATED-0250,nào mà đóng tssđ hàng năm nó cứ tăng hàng năm nữa,0,0
BDS-CURATED-0291,này hồi xưa mình có thông tin nhưng s,0,0
BDS-CURATED-0292,này nha anh Cái này phải đi khảo sát địa hình,0,0
BDS-CURATED-0456,này nha by Unknown User,0,0
BDS-CURATED-0457,này thì chuyển cho anh Tâm nên K,0,0
BDS-CURATED-0458,này trước họ rao 900ty đúng ko mng,0,0
BDS-CURATED-0459,này đâu có cái nào mình nghiên,0,0
BDS-CURATED-0460,này đâu có cái nào mình nghiên cứu ta Bên Mr,0,0
BDS-CURATED-0463,quy nhơn nha 1 Heart reaction,0,0
BDS-CURATED-0464,rồi,0,0
BDS-CURATED-0465,thì 120 -130 ạ 31 là kích thước sao nhỉ by Admin 01,0,0
BDS-CURATED-0297,thương hiệu Trump đầu tiên tại Việt Nam - Tuổi Trẻ Online Chiều 21-5,0,0
BDS-CURATED-0467,triển khai,0,0
BDS-CURATED-0300,tuy đạt hiệu quả đầu tư về mặt tính t,0,0
BDS-CURATED-0468,tại các tỉnh phía Bắc,0,0
BDS-CURATED-0469,vào list theo dõi,0,0
BDS-CURATED-0471,à Begin quote,0,0
BDS-CURATED-0269,được tính bằng cách lấy tổng doanh thu trừ các chi phí vận hành trực tiếp (như chi phí phòng,1,0
BDS-CURATED-0474,để nuôi sale nên chốt mua luôn ạ,0,0
BDS-CURATED-0475,📄 File,0,0
BDS-CURATED-0407,Khu Chung Cư & Văn Phòng An Phú 2,0,0
BDS-CURATED-0295,sẽ hơi nhiều gốc cạnh sau khi ráp 2 miếng vào,0,0
BDS-CURATED-0397,căn hộ Đức Long Wes,0,2
BDS-CURATED-0243,của Novaland được tháo gỡ liên quan đến Waterbay và Lakeview theo NQ 170 của Quốc Hội Liên quan đến vấn đề giả,0,0
BDS-CURATED-0277,Gladia heights dự kiến triển khai trong 2026 này,0,2
BDS-CURATED-0437,Holiday Beach - 14,0,0
BDS-CURATED-0438,IRR thấp hơn ạ,1,0
BDS-CURATED-0307,Parklane P,0,0
BDS-CURATED-0477,chư by Admin 01,0,1
BDS-CURATED-0478,cần bố trí khoảng xanh,0,0
BDS-CURATED-0447,hay VP,0,0
BDS-CURATED-0452,một lần,0,0
BDS-CURATED-0481,nha em,0,0
BDS-CURATED-0310,thì cách tiếp cận sẽ khác so với các PA ban đầu,0,0
BDS-CURATED-0311,thì họ sẽ làm như thế nào Huy M - IM Rồi anh tính phương án thử by Admin 01,0,0
BDS-CURATED-0426,và thị trường khu vực,0,0
