master_id,project_name,issues,latest_report_date,coords,land_area_main,sample_excerpt
BDS-MASTER-0076,chung cư Hòa Xuân (A2-3 & A2-4) 1,missing_report_date; missing_coordinates,,,6.648 m²,"[] P.ĐT báo cáo sếp hiệu quả dự án chung cư Hòa Xuân (A2-3 & A2-4) 1. Thông tin tổng quan a) Diện tích: 6.648 m2; Trong đó: + A2-3: 3.508 m2 + A2-4: 3.140 m2 b) Quy hoạch theo QHPK mới: + A2-3: 18 tầng, 880 dân, mđxd 73%, hệ số 12.4 (Thiết kế đc 12.4) + A2-4: 15 tầng, 804 dân (thiết kế được 682) , mđxd 76%, hệ số 12.2 (thiết kế được 10.6) 2. Hiệu quả: a) Giả định kinh doanh (tham chiếu báo cáo từ RnD): + Giá bán căn hộ: 55 – 60 tr/m2 (chưa VAT tim tường) + Giá bán shop: 80 tr/m2 (chưa VAT tim tường) + Nhà trẻ: cho thuê 3.5$/m2/tháng + Chi phí bán hàng: 19 %/doanh thu b) Giả định xây dựng: + Suất xây dựng: 13tr./m2 (gồm VAT), trang bị nội thất liền tường. + Suất Đầu tư all in: 15tr/m2 + Chi p"
BDS-MASTER-0077,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,missing_coordinates,2022-09-06,,26.000 m² (~2.60 ha),"[2022-09-06] Trieu Nguyen-PTDT 9/6/2022 10:34 AM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án 2.6ha tại mặt tiền đường Song Hành XLHN, Thủ Đức có giá chào 1250 tỷ (48tr.đồng/m2 đất), cụ thể: Vị trí và hiện trạng: Dự án có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội, và 1 mặt tiền đường Linh Trung rộng khoảng 200m tại P.Linh Trung, Thủ Đức, TPHCM Dự án nằm cách điểm lên ga Metro khoảng 500m, cách cầu Sài Gòn khoảng 10km, cách đường Nguyễn Huệ, Q1 khoảng 15km Hiện trạng có 1 căn biệt thự nằm trong khuôn viên dự án, nằm gần các trụ điện cao thế Pháp lý đất: Chưa được cấp GCNQSDĐ nhưng đã có quyết định giao đất, có cho phép chuyển mục đích sử dụng đất sang dự án chung cư"
BDS-MASTER-0078,sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC,missing_report_date; missing_coordinates,,,279.000 m² (~27.90 ha),"[] P.ĐT dự kiến dự án sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC, và sau đó mất khoảng 2 năm để triển khai pháp lý (kế thừa qh1.500 hiện có). Như vậy dự án sẽ bắt đầu triển khai xây dựng từ cuối 2028- đầu 2029 2.1 Giả định kinh doanh a) Nhóm sản phẩm bán: + Giá bán căn hộ: 56-66 tr/m2 (chưa VAT tim tường) + Giá bán căn shop: 69 – 79 tr/m2 (chưa VAT tim tường) + Giá bán căn hộ cho thuê (theo QH1/500 có loại hình này và P.ĐT định hướng thành sản phẩm bán 50 năm): 47-56 tr/m2 (chưa VAT tim tường) b) Nhóm sản phẩm khai thác cho thuê: + Giá cho thuê sàn thương mại siêu thị: 8$/m2/tháng + Giá cho thuê sàn thương mại văn phòng: 9.5$/m2/tháng + Giá cho thuê sàn nhà trẻ: 4$/m"
BDS-MASTER-0079,thay đổi khi thay đổi giá mua dự án và giá bán căn hộ,missing_report_date; missing_coordinates,,,290 m²,"[] P.ĐT báo cáo Sếp Admin 01 về cập nhật DA Võ Văn Kiệt (Gộp 2 Lô) theo chỉ tiêu QH dự kiến điều chỉnh, như sau: 1. Quy hoạch: Những thay đổi chính trong PA QH mới: Hệ số tăng từ 13,7 lên 14,7 Tầng cao từ 30 lên 36 tầng Tăng 3.467 m2 sàn kinh doanh ~ tăng 19 căn, từ 833 lên 852, đồng thời Shop điều chỉnh thành 3 tầng. 2. Hiệu quả tài chính: Đơn giá xây dựng All-in vẫn giữ 21 tr/m2 (gồm VAT). Chi phí kinh doanh bán hàng 19%/Doanh thu. Giá bán căn hộ giảm từ 105 xuống còn 99 tr/m2 (gồm VAT), tương đương với giá 90 tr chưa VAT ~ 5 tỷ/căn 56 m2. Giá bán Shop giữ đơn giá tầng 1+2 vẫn 230 tr/m2, tầng 3 còn 110 tr/m2 => Đơn giá bình quân cho căn Shop 3 tầng còn 193 tr/m2 (gồm VAT), ~ 175 tr chưa VA"
BDS-MASTER-0080,~38ha,bad_name; missing_report_date; missing_coordinates,,,388.000 m² (~38.80 ha),"[] Hanh T - INVT 3/6 1:23 PM Edited Translate P. Đầu tư báo cáo Sếp Admin 01 về khu đất 35ha tại Kiên Giang (thuộc Châu Thành giáp ranh TP Rạch Giá), từ công ty CKG như sau: 1. Sơ bộ về khu đất: Vị trí và ranh đất: https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105… Đường Lạc Hồng (xã Thạnh Lộc, H. Châu Thành, tỉnh Kiên Giang, nay là xã Thạnh Lộc. tỉnh An Giang). Pháp lý: Tổng diện tích đất khoảng 35ha/38,8ha lập dự án, chủ yếu là đất lúa. Hiện chưa lập dự án, định hướng xin Quyết định chủ trương đầu tư theo hướng tự thỏa thuận quyền sử dụng đất và vận dụng thí điểm diện tích mua gom >75% diện tích đất lập dự án ~38ha. Quy hoạch: Phòng Quy Hoạ"
BDS-MASTER-0081,(GỒM VAT) – 4,missing_coordinates; missing_land_area; missing_planning,2025-09-11,,,"[2025-09-11] Thao L - INVT 9/11/2025 5:28 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về Phương án Thấp tầng Phú Gia Khiêm như sau: 1. CHI PHÍ DỰ ÁN (GỒM VAT) – 4,847TỶ - Chi phí M&A: 700 tỷ - Chi phí pháp lý: 55 tỷ - Chi phí Chuyển mục đích tiền sử dụng đất: 550 tỷ ~ 17.5tr/m2 (Gấp 3.1 lần Đơn giá Nhà nước Mặt tiền đường Bình Chuẩn 67) - Tổng chi phí xây dựng all in: 2,197 tỷ + Chi phí xây dựng Hạ tầng, cảnh quan allin trên tổng diện tích dự án: 48 tỷ ~ 1.42tr/m2 đất + Chi phí xây dựng Chung cư all in (2 block: 30 tầng + tum + 2 hầm, hoàn thiện cơ bản): 2,088tỷ ~ 13tr/m2 sàn (cao hơn dự án Phượng Hoàng 12.2tr/m2 khoảng 7%) + Chi phí xây dựng Nhà liên kế all in (4 tầng, hoàn thiện bên"
BDS-MASTER-0082,Bale tại Mũi Né,missing_coordinates,2023-06-09,,100 m²,"[2023-06-09] Trieu Nguyen-PTDT 6/9/2023 5:47 PM Edited KĐT gửi anh Tuan Tran-CEO đánh giá lại dự án Bale tại Mũi Né, Phan Thiết, có giá chào bán được điều chỉnh giảm còn 2.000.000 đồng/m2 đất kèm theo cam kết chủ đầu tư hoàn thành việc cấp phép đóng tiền thuê đất 1 lần, hoàn thành đường kết nối và công tác đền bù, cụ thể: 1/ Vị trí: + Dự án nằm tại hẻm của đường Nguyễn Đình Chiểu (đường ven biển), không có mặt tiền biển hay mặt tiền đường ven biển, cách bãi biển khoảng 500m, có khu dân cư chắn ngang ở hướng ra biển 2/ Tham khảo đánh giá của Phòng Pháp lý a/ Pháp lý đất: Đất thương mại dịch vụ trả tiền thuê đất hàng năm đến năm 2059 b/ Pháp lý đầu tư: Dự án được phép bán – cho thuê công trình"
BDS-MASTER-0083,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,missing_coordinates,2022-08-09,,310.000 m² (~31.00 ha),"[2022-08-09] Quy Vo-PTDT 8/9/2022 2:33 PM 2. Dự án Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa, Phú Mỹ, Bà Rịa Vũng Tàu 2.1 Về Pháp lý Dự án: - Dự án đã có chủ trương đầu tư, GCN quyền sử dụng đất (Đất SXKD, thời hạn đến năm 2061, thuê đất đóng tiền 1 lần), chưa có Giấy phép xây dựng. 2.2 Về vị trí và kết nối, tiềm năng hạ tầng: - Dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất cả nước, cùng với Cảng biển Hải Phòng), dự án khu bến cảng Cái Mép khoảng 1.5km, tiếp giáp với đường 991B(đường quy hoạch) kết nối đến đường Liên Cảng Cái Mép, dự án kết nối với Cao tốc Bến Lức Long Th"
BDS-MASTER-0084,Chung cư Minh Ngọc tại đường CMT8,missing_coordinates,2022-09-19,,968 m²,"[2022-09-19] Trieu Nguyen-PTDT 9/19/2022 11:15 AM KĐT gửi anh Tuan Tran-CEO báo cáo dự án Chung cư Minh Ngọc tại đường CMT8, P11, Q3, TPHCM có quy mô 7234m2 và giá chào 1200 tỷ đồng (tương đương 165.86tr/m2 đất) bao gồm tiền sử dụng đất và QH 1.500, cụ thể: Vị trí và hiện trạng: Dự án nằm tại Hẻm E6, đường CMT8, P11, Q3, có mặt tiền tiếp xúc với hẻm rộng khoảng 130m Nằm cách đường CMT8 khoảng 70m, cách vòng xoay Công trường Dân Chủ khoảng 2km, cách đường Nguyễn Huệ, Q1 khoảng 5.4km, thuận tiện đi về trung tâm Q1. Cách công viên Lê Thị Riêng và vị trí quy hoạch trạm metro số 2 khoảng 125m Phía sau dự án giáp ranh với nhà ga xe lửa Sài Gòn, dễ bị ảnh hưởng tiếng ồn Hiện trạng: Chưa xây dựng, t"
BDS-MASTER-0085,Felicia Đà Nẵng,missing_coordinates,2025-02-19,,1.220 m²,"[2025-02-19] Huy M - IM 2/19/2025 9:31 PM Translate K.ĐT báo cáo anh Mr Mike1 -CEO về dự án Felicia Đà Nẵng theo phương án tổ hợp khách sạn và Condotel, mặt tiền đường Võ Nguyên Giáp, Lô B5, thuộc khu phúc hợp đô thị, TMDV Royal Era 1, P. Mỹ An, Q. Ngũ Hành Sơn, T. Đà Nẵng như sau: 1/ Vị trí: - Mặt tiền tiếp giáp đường Võ Nguyên Giáp, cách giao lộ đường Võ Nguyên Giáp và Võ Văn Kiệt khoảng 1,2km, cách giao lộ đường Võ Nguyên Giáp và Hồ Xuân Hương khoảng 1,4km - Bên trái giáp Serene Beach, cách Holiday Beach khoảng 350m 2/ Hiện trạng: Công trình xây dựng khách sạn dở dang, với 2 hầm + 25 tầng nổi. Công trình đã cất nóc (theo thông tin anh Sơn - Trợ lý) => Vẫn chưa đánh giá được tính phù hợp c"
BDS-MASTER-0086,Green Hill tại Quy Nhơn,missing_coordinates,2022-08-10,,150.800 m² (~15.08 ha),"[2022-08-10] Trieu Nguyen-PTDT 8/10/2022 3:23 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án Green Hill tại Quy Nhơn, có quy mô 16.62ha, giá chào 1300 tỷ đồng (7.8tr/m2 đất), cụ thể: Vị trí và hiện trạng: - Dự án nằm mặt tiền đường D1, cách trung tâm TP Quy Nhơn khoảng 8.4km, cách dự án Trung tâm nghiên cứu Công Nghệ của FPT có quy mô 15ha khoảng 2km, cách bãi biển Quy Hòa 135m. - Dự án có 2 phân khu: 1 phân khu biệt thự tựa đồi view biển (15.08ha) và 1 phân khu mặt tiền biển (1.54ha) Pháp lý đất: - Ngày 25/10/2019, UBND đồng ý cho thuê đất 13.64ha thực hiện dự án KDL và giao phần đất 2.97ha nằm trong hành lang hạ tầng kỹ thật - Thông báo nộp tiền thuê 1 lần ngày 16/1/2020, là 45.733 tỷ đ"
BDS-MASTER-0087,Phú Quang cập nhật,missing_coordinates; missing_legal,2025-04-25,,320.000 m² (~32.00 ha),"[2025-04-25] Khoa L - INVT 4/25/2025 6:04 PM Edited Translate P.Đầu tư Báo cáo anh Mr Mike1 -CEO về hiệu quả dự án Phú Quang cập nhật theo phương án quy hoạch mới nhất (18.051 dân) 1. Thông tin quy hoạch: Hệ số sử dụng đất: 6,41 - 7,69 Cơ cấu sử dụng đất: Tổng diện tích 32 ha Diện tích cây xanh cảnh quan: 14,4 ha Diện tích đất thương phẩm: 17 ha Đất thấp tầng: 4,5 ha Đất chung cư NOXH: 2,8 ha Đất chung cư NOTM: 5,8 ha Cơ cấu diện tích sàn thương phẩm: Chung cư NOXH: 129.874 m2 Chung cư NOTM: 323.986 m2 2. Hiệu quả dự án: Dựa trên thông tin giá bán, suất thay đổi không thay đổi so với các đợt báo cáo trước. Hiệu quả dự án như sau: Lợi nhuận trước thuế: 18.522,6 tỷ LNTT/TMĐT: 56,37% NPV: 4.286"
BDS-MASTER-0088,Võ Văn Kiệt) cố định ~ 190 tr/m2,missing_report_date; missing_coordinates,,,4.613 m²,"[] P.ĐT báo cáo Sếp Admin 01 về phương án gộp 2 lô Võ Văn Kiệt ~ diện tích 4.600 m2 như sau: 1. VỊ TRÍ VÀ RANH ĐẤT 2 LÔ ĐẤT: Vị trí theo đường link: Vị Trí Dự án 2. THÔNG SỐ QUY HOẠCH Trên cơ sở phòng QH giả định: Giữ nguyên chỉ tiêu dân số của 2 lô, theo đó tổng dân số cho dự án gộp là 1.290 dân (Lô Kế VVK là 740, Lô VVK là 550 dân). Điều chỉnh tăng hệ số sử dụng đất lên 13.7 (tăng 0.9 lần so với QH Lô Kế VVK là 12.8) đồng thời tăng 3 tầng nổi. + Diện tích đất của 2 lô : 4.613 m2 + Quy mô xây dựng: 2 Block 30 tầng nổi, 3 tầng hầm. + Tổng sản phẩm: 833 căn gồm 812 căn hộ ở + 21 căn Shop TM khối đế. + Hệ số sử dụng đất: 13,7 lần. 3. HIỆU QUẢ DỰ ÁN Giả định về Giá mua dự án: * Lô A17-02 (gọi l"
BDS-MASTER-0089,chung cư Thành Lộc với tổng diện tích đất phù hợp quy hoạch để thực hiện dự án là 8,missing_coordinates,2022-08-09,,9.583 m²,"[2022-08-09] Quy Vo-PTDT 8/9/2022 4:15 PM KĐT gửi Mr.Tuấn Tuan Tran-CEO Báo cáo Dự án chung cư Thành Lộc với tổng diện tích đất phù hợp quy hoạch để thực hiện dự án là 8,368.3m2 (giá chào bán khoảng 300 tỷ tương đương 31.3 tr/m2 trên diện tích đất chào bán 9,582.6m2) thuộc phường An Thạnh, thành phố Thuận An, tỉnh Bình Dương: 1. Vị trí dự án: Dự án nằm trên đường Hồ Văn Mên (Quy hoạch làm tuyến đường vành đai 3) có bán kính cách thành phố mới Bình Dương 10 km, Khu công nghiệp VSIP 1 4km và sân bay Tân Sơn Nhất 15 km. 2. Pháp lý đất: Diện tích đất 9582.6 m2 đã được cấp GCN cho cá nhân: + 320m2 đất ODT: Nhà nước giao đất có thu tiền sử dụng đất. + 9262.6m2 đất CLN: Nhà nước giao đất không thu "
BDS-MASTER-0090,có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ,missing_coordinates,2022-08-26,,794 m²,"[2022-08-26] Trieu Nguyen-PTDT 8/26/2022 2:10 PM Edited Dear anh Tuan Tran-CEO, Anh Binh Vo-GD-PTDT và Mi đã gặp bên chào bán là công ty Anh Tuấn để lấy thông tin sơ bộ 2 dự án 3.4ha và 3ha, thông tin cụ thể: A/ Dự án 3.4ha tại đường Nguyễn Hữu Thọ, Nhà Bè, TPHCM có giá chào 589 tỷ (17tr/m2 đất): 1. Vị trí và hiện trạng: - Dự án có mặt tiền rộng khoảng 100m ngay đường Nguyễn Hữu Thọ, Nhà Bè, TPHCM, cách đường Nguyễn Văn Linh, Q7 khoảng 5km, cách trung tâm Q1 khoảng 11km, cách sân bay Tân Sơn Nhất khoảng 17km - Nằm đối diện dự án GS Metro City, cách dự án Zeitgeist khoảng 600m - Hiện trạng đất trống (theo quan sát vệ tinh), có chiều sâu so với đường Nguyễn Hữu Thọ khoảng 380m 2. Pháp lý đất: "
BDS-MASTER-0091,căn hộ cao cấp tại vị trí nghiên cứu là khả thi với mức giá đấu max 370 tr,missing_report_date; missing_coordinates,,,10.327 m² (~1.03 ha),"[] Phòng Đầu tư báo cáo CEO Mr Mike1 -CEO 2 khu đất thuộc trung tâm tài chính quốc tế Đà Nẵng đang kêu gọi nhà đầu tư như sau: 1. Vị trí: Theo đề án trung tâm tài chính quốc tế Đà Nẵng và báo cáo SXD Đà Nẵng, lô A12 và A14 được quy hoạch chức năng căn hộ cao cấp. Do đó, P.ĐT đề xuất nghiên cứu 2 lô đất này vì có tiềm năng mang lại lợi nhuận và dòng thu sớm nhất. 2. Thông tin 2 lô đất: - Lô A12: 7.633 m2, MĐXD 40-90%, 38 tầng - Lô A14: 10.327 m2, MĐXD 40 – 90%, 38 tầng. Dựa vào thông tin nghiên cứu, thông số quy hoạch (p.QLTK), giá bán (RnD) đề xuất 167tr/m2 gồm VAT thông thủy, Chi phí đầu tư xd all-in gồm VAT: 22.3tr/m2, Cp bán hàng 25%/doanh thu, P.ĐT tóm tắt hiệu quả tương ứng với các kịch"
BDS-MASTER-0092,gồm,bad_name; missing_report_date; missing_coordinates,,,16.536 m² (~1.65 ha),"[] P.ĐT thực hiện binh một phương án khác, tăng diện tích đất ở bằng cách chuyển đổi phần đất DVCC cấp đô thị sang đất ở khoảng 16.536m2 (tạm tính 40% x 41.339,4m2). Phần đất ở tăng thêm theo đề xuất và nghiên cứu của RD bố trí làm biệt thự vườn. Hiệu quả dự án gồm như sau: Doanh thu chưa VAT: 8.127 tỷ đồng (Trong đó, Đơn giá bình quân chưa VAT bao gồm đất + CTXD là 133 Triệu/m2; Đơn giá bình quân đất biệt thự chưa VAT là 110 Triệu/m2 và Giá căn hộ bình quân chưa VAT tim tường là 57 triệu/m2, Thời điểm bán 2028). Tổng mức đầu tư chưa VAT: 4.620 tỷ đồng (Trong đó đơn giá đất hiện trạng 3tr/m2; tiền sử dụng đất tạm tính 1.387 tỷ; suất all in chưa VAT của biệt thự 11 triệu/m2) Lợi nhuận trước t"
BDS-MASTER-0093,khu mặt tiền đường Ngô Chí Quốc (gom đất gần Phú Quang)- Cập nhật Quy hoạch Phân khu,missing_report_date; missing_coordinates,,,21.500 m² (~2.15 ha),"[] Dạ P.ĐT báo cáo sếp Admin 01 cập nhật dự án khu mặt tiền đường Ngô Chí Quốc (gom đất gần Phú Quang)- Cập nhật Quy hoạch Phân khu. Theo QH PK3 được duyệt 2025, quỹ đất quan tâm thuộc ô đất OD-1, MN-1 và CX-2 (thuộc Đơn vị ở 1), trong đô ô OD-1 (diện tích PHQH 2.15ha) có các thông số sau: + Dân số 1.300 (tăng 800 dân so với QH cũ), + Tầng cao: 30 (không đổi) + Hệ số: 7 (không đổi) * ô MN-1 và CX-2 vẫn có chức năng giáo dục và cây xanh (không đổi) A/Phương án hỗn hợp thấp tầng (tối ưu số dân 1.300, hệ số sdđ đạt 3.1): 1. Quy mô: Gồm 1 block chung cư hỗn hợp 24 tầng (căn hộ, officetel, shop TM và sàn TTTM) và 67 căn nhà phố 2. PA đầu tư: a) Giả định kinh doanh: + Giá bán căn hộ: 61 tr/m2 (chư"
BDS-MASTER-0094,thấp tầng SADACO – Phú Mỹ,missing_coordinates,2025-04-08,,168.000 m² (~16.80 ha),"[2025-04-08] Unknown User 4/8/2025 7:33 PM P. ĐT báo cáo anh Mr Mike1 -CEO về dự án thấp tầng SADACO – Phú Mỹ, Thành phố Phú Mỹ, tỉ… Mấy cái xa xôi này phải lãi cao mới làm nổi, lãi mỏng dưới 20% là thua. Vì phải có sóng mới bán đc hàng Link https://vt.tiktok.com/ZSrfafnH6/ by Unknown User --- [2025-04-08] Sinh Nguyen-Dau Tu 4/8/2025 7:33 PM Translate P. ĐT báo cáo anh Mr Mike1 -CEO về dự án thấp tầng SADACO – Phú Mỹ, Thành phố Phú Mỹ, tỉnh Bà Rịa – Vũng Tàu như sau: 1/ Vị trí: - Tiếp giáp mặt tiền đường Tô Nguyệt Đình, cách đường Quốc lộ 51 khoảng 5km - Dự án giáp ranh tỉnh Bà Rịa Vũng Tàu và tỉnh Đồng Nai - Cách UBND TP. Phú Mỹ khoảng 12km - Cách sân bay Quốc tế Long Thành khoảng 20km - Cá"
BDS-MASTER-0095,từ đường Đặng Văn Trơn và giá chào đã bao gồm phần đất này,missing_coordinates; missing_legal,2022-09-26,,158.000 m² (~15.80 ha),"[2022-09-26] Thao L - INVT 9/26/2022 5:32 PM Edited Giá bán sản phẩm: (Dựa vào giá thị trường cơ sở hiện tại là 58tr/m2 đất vào năm 2022). + Đất ở thương mại: 77tr/m2 đất và 8,7tr/m2 sàn (2025-2026). + Đất ở nội khu: 70tr/m2 đất và 8,7tr/m2 sàn (2025-2026). + NOXH: 8.35tr/m2 sàn NOXH (2025-2026). + Tạm định giá đầu ra phần đất nông nghiệp (QH đất ở hiện hữu chỉnh trang): 14tr/m2 đất. Hiệu quả tài chính: Tỷ lệ LNTT/TMĐT: 15,5% với Lợi nhuận trước thuế là 559,5 tỷ đồng. Kết luận: + Để nhận chuyển nhượng quỹ đất với điều kiện tiên quyết là đối tác đã có sẵn phần đất QH đường kết nối vào dự án từ đường Đặng Văn Trơn và giá chào đã bao gồm phần đất này. + Để dự án đạt tỷ lệ LNTT/TMĐT là 20% khi t"
BDS-MASTER-0096,168ha gần Khu Đa,missing_coordinates,2022-07-19,,1.680.000 m² (~168.00 ha),"[2022-07-19] Trieu Nguyen-PTDT 7/19/2022 5:50 PM Em gửi anh Tuan Tran-CEO báo cáo nhanh quỹ đất 168ha tại xã Phong Phú, H. Bình Chánh, TPHCM với giá chào 2.5tr/m2, vì chưa được cung cấp hồ sơ pháp lý nên KĐT đánh gia nhanh về thị trường và vị trí của quỹ đất, cụ thể: Vị trí và hiện trang: Hẻm đường Quốc lộ 50, xã Phong Phú, Huyện Bình Chánh, TPHCM, cách quốc lộ 50 khoảng 1.4km, có 3.7km tiếp giáp với sông rạch, cách trung tâm Q1 TPHCM khoảng 18km Quỹ đất kết nối với đường Quốc lộ 50 thông qua 2 hẻm nhỏ, được lát bê tông 1 phần (có độ rộng khoảng 2.5m khi càng đến gần dự án) Hiện trạng đất có nhiều ao hồ, rạch, cây cối um tùm dọc 2 bên đường dẫn đến chi phí san lắp mặt bằng sẽ cao Cách khu xử"
BDS-MASTER-0097,2769m2 Hoàng Sa Đà Nẵng (chưa bao gồm TSDĐ bổ sung),missing_coordinates,2025-06-05,,769 m²,[2025-06-05] Thao L - INVT 6/5/2025 5:47 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về dự án 2769m2 Hoàng Sa Đà Nẵng (chưa bao gồm TSDĐ bổ sung) như sau: 1. THÔNG SỐ QUY HOẠCH 2. TIẾN ĐỘ XÂY DỰNG - BÁN HÀNG - VẬN HÀNH 3. DOANH THU a. Bán hàng – RD đề xuất - Đơn giá bán căn hộ trung bình tại thời điểm cuối 2026 (gồm VAT): 70tr/m2 ~ 770 tỷ b. Vận hành – Mr. David đề xuất - Đơn giá thuê khách sạn/đêm tại thời điểm 2026 (chưa VAT): 2.05tr/phòng/đêm - Đơn giá thuê khách sạn/đêm tại thời điểm 2029 (gồm VAT): 2.4tr/phòng/đêm - Tỷ lệ lấp đầy: 70% - %EBITDA: 33% - 37% 4. CHI PHÍ - chưa bao gồm TSDĐ bổ sung - Đơn giá đất: 250tr/m2 ~ 692 tỷ - Chi phí pháp lý + Nhà mẫu (gồm VAT): 77 tỷ - Đơn giá
BDS-MASTER-0098,2769m2 tại Đà Nẵng,missing_coordinates,2022-08-03,,769 m²,"[2022-08-03] Trieu Nguyen-PTDT 8/3/2022 4:45 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự án 2769m2 tại Đà Nẵng: Pháp lý đất: Giấy CNQSDĐ 2769m2 đất ODT, thời hạn lâu dài, có nguồn gốc đấu giá, nhà nước giao đất có thu tiền sử dụng đất Pháp lý đầu tư: Với mục đích giữ đất và thời hạn sử dụng đất lâu dài => Căn cứ Nghị định 31/2021 hướng dẫn Luật Đầu tư, Phòng Pháp lý đề xuất không lập dự án và không xin chấp thuận chủ trương đầu tư mà thực hiện để cá nhân đứng tên GCNQSDĐ và cho một pháp nhân thuê để xây dựng và kinh doanh khách sạn Pháp lý quy hoạch: + Đất ODT: theo kế hoạch sử dụng đất năm 2022 của Quận Sơn Trà theo quyết định số 664/QĐ-UBND được ban hành + Bảng tính dựa trên thông số quy hoạch"
BDS-MASTER-0099,31 Trần Não,missing_report_date; missing_coordinates,,,5.243 m²,"[] Thao L - INVT 5/11 1:38 PM Edited Translate K.ĐT gửi anh Admin 01 báo cáo dự án 31 Trần Não như sau: I. TỔNG QUAN 02 PHƯƠNG ÁN: II. PHƯƠNG ÁN CĂN HỘ DỊCH VỤ KẾT HỢP VĂN PHÒNG VÀ TRUNG TÂM THƯƠNG MẠI 1. Chi phí xây dựng (VAT): 1,800 tỷ - Đơn giá XD Allin: 21.5tr/m2 (trong đó SĐT VP + hầm: 18.6tr/m2 - Dựa vào S.ĐT P.QS tính theo chuẩn VP Opal) - SĐT/CHDV: 3.1 tỷ/key 2. Doanh thu và Chi phí vận hành (VAT): - Tỷ lệ diện tích thương phẩm Văn phòng đạt khoảng 79%, CHDV chỉ khoảng 60% (nhiều tiện ích đi kèm) - Giá thuê và phí dịch vụ của văn phòng năm đầu: 38.5$/m2/tháng gồm VP: 33$/m²/tháng + phí dịch vụ 5.5$/m²/tháng; CPVH: 20% DT; Tỷ lệ tăng giá thuê 3%/năm - Giá thuê CHDV năm đầu: + Dài ngày"
BDS-MASTER-0100,4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,missing_report_date; missing_coordinates,,,44.000 m² (~4.40 ha),"[] Báo cáo Dự án 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,4ha (giá chào bán 600 tỷ tương đương 13,4 tr/m2) tại 2 mặt tiền đường Quốc lộ 51 và đường Hùng Vương thuộc Phường Tân Phước, Thị xã Phú Mỹ, tỉnh Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đường nhựa rộng khoảng 25m. - Cách Trung tâm Hành chính Thị xã Phú Mỹ khoảng 1km, cách các tiện ích ngoại khu trong vòng bán kính 2,5km gồm siêu thị Co.opmart, KNG Mall, phòng khám đa khoa, 2 trường Trung học Cơ sở, 2 trường T"
BDS-MASTER-0101,54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ,missing_coordinates,2022-08-11,,3.000.000 m² (~300.00 ha),"[2022-08-11] Trieu Nguyen-PTDT 8/11/2022 12:10 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án 54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ: Vị trí và hạ tầng giao thông kết nối - Dự án nằm sát cảng hàng không nội địa Phan Thiết đang trong giai đoạn hoàn thành Chủ trương đầu tư, đã hoàn thành công tác đền bù và giải phóng mặt bằng, phục vụ dân dụng và quốc phòng - Dự án nằm tiếp giáp đường 715, là tuyến đường kết nối đến đường Võ Nguyên Giáp - tuyến đường chính chạy về thành phố Phan Thiết, nằm cách đường Võ Nguyên Giáp khoảng 6.8km - Dự án cách biển 7.4km, cách thành phố Phan Thiết 24km 2. Đánh giá về sự ảnh hưởng sân bay Phan Thiết và các sân bay khác đến định hướng phát triển "
